ID_PRODUTO,PRECO,DATA_EVENTO,PREVISAO_QUANTIDADE_ESTOQUE
1000,138.43,2024-02-09,99
1001,75.08,2024-02-10,99
1002,58.84,2024-02-11,99
1003,61.96,2024-02-12,99
1004,20.34,2024-02-13,99
1005,29.65,2024-02-14,99
1006,187.04,2024-02-15,99
1007,23.09,2024-02-16,99
1008,173.21,2024-02-17,99
1009,66.31,2024-02-18,99
1010,182.28,2024-02-19,99
1011,48.96,2024-02-20,100
1012,21.94,2024-02-21,100
1013,72.67,2024-02-22,100
1014,141.87,2024-02-23,99
1015,27.82,2024-02-24,100
1016,30.19,2024-02-25,100
1017,22.68,2024-02-26,100
1018,44.2,2024-02-27,100
1019,100.19,2024-02-28,100
1020,129.13,2024-02-29,100
1021,21.24,2024-03-01,100
1022,85.71,2024-03-02,100
1023,143.12,2024-03-03,100
1024,65.27,2024-03-04,100
1000,153.81,2024-03-05,57
1001,67.57,2024-03-06,58
1002,52.96,2024-03-07,58
1003,61.96,2024-03-08,58
1004,20.34,2024-03-09,58
1005,32.94,2024-03-10,58
1006,187.04,2024-03-11,58
1007,23.09,2024-03-12,58
1008,173.21,2024-03-13,58
1009,59.68,2024-03-14,58
1010,182.28,2024-03-15,58
1011,48.96,2024-03-16,58
1012,21.94,2024-03-17,59
1013,72.67,2024-03-18,58
1014,141.87,2024-03-19,58
1015,25.04,2024-03-20,59
1016,30.19,2024-03-21,59
1017,22.68,2024-03-22,59
1018,44.2,2024-03-23,59
1019,90.17,2024-03-24,59
1020,129.13,2024-03-25,59
1021,21.24,2024-03-26,59
1022,85.71,2024-03-27,59
1023,143.12,2024-03-28,59
1024,72.52,2024-03-29,59
1000,138.43,2024-03-30,57
1001,75.08,2024-03-31,57
1002,58.84,2024-04-01,58
1003,61.96,2024-04-02,58
1004,20.34,2024-04-03,58
1005,32.94,2024-04-04,58
1006,168.34,2024-04-05,57
1007,23.09,2024-04-06,58
1008,173.21,2024-04-07,57
1009,66.31,2024-04-08,58
1010,164.05,2024-04-09,57
1011,48.96,2024-04-10,58
1012,21.94,2024-04-11,58
1013,72.67,2024-04-12,58
1014,141.87,2024-04-13,58
1015,27.82,2024-04-14,58
1016,30.19,2024-04-15,58
